Date,City,Country,Status,AQI_Value
7/20/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,126.0
7/21/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,105.0
7/22/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,141.0
7/23/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,134.0
7/24/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,126.0
7/25/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,113.0
7/26/2023,Jakarta,Indonesia,Unhealthy,156.0
7/27/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,126.0
7/28/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,148.0
7/29/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,139.0
7/30/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,145.0
7/31/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,135.0
8/1/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,132.0
8/2/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,102.0
8/3/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,130.0
8/4/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,135.0
8/5/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,136.0
8/6/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,125.0
8/7/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,144.0
8/8/2023,Jakarta,Indonesia,Unhealthy,159.0
8/9/2023,Jakarta,Indonesia,Unhealthy,157.0
8/10/2023,Jakarta,Indonesia,Unhealthy,151.0
8/11/2023,Jakarta,Indonesia,Unhealthy,156.0
8/12/2023,Jakarta,Indonesia,Unhealthy,159.0
8/13/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,136.0
8/14/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,131.0
8/15/2023,Jakarta,Indonesia,Unhealthy,152.0
8/16/2023,Jakarta,Indonesia,Unhealthy,155.0
8/17/2023,Jakarta,Indonesia,Unhealthy,152.0
8/18/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,124.0
8/19/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,120.0
8/20/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,131.0
8/21/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,140.0
8/22/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,141.0
8/23/2023,Jakarta,Indonesia,Unhealthy,156.0
8/24/2023,Jakarta,Indonesia,Unhealthy,162.0
8/25/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,132.0
8/26/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,130.0
8/27/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,102.0
8/28/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,136.0
8/29/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,119.0
8/30/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,131.0
8/31/2023,Jakarta,Indonesia,Unhealthy for Sensitive Groups,136.0
