Date,City,Country,Status,AQI_Value
8/30/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,125.0
8/31/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,123.0
9/1/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,148.0
9/2/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,110.0
9/3/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,128.0
9/4/2022,Jakarta,Indonesia,Moderate,97.0
9/5/2022,Jakarta,Indonesia,Moderate,57.0
9/6/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,132.0
9/7/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,105.0
9/8/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,110.0
9/9/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,128.0
9/10/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,138.0
9/11/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,125.0
9/12/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,113.0
9/13/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,102.0
9/14/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,135.0
9/15/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,135.0
9/16/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,134.0
9/17/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,133.0
9/18/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,135.0
9/19/2022,Jakarta,Indonesia,Unhealthy,158.0
9/20/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,138.0
9/21/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,137.0
9/22/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,126.0
9/23/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,141.0
9/24/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,138.0
9/25/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,102.0
9/26/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,126.0
9/27/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,121.0
9/28/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,102.0
9/29/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,134.0
9/30/2022,Jakarta,Indonesia,Unhealthy for Sensitive Groups,129.0
